Cartelle: logs_final_1000, logs_timing_biased_full_1000, logs_gapfill_1000
Test caricati: 214

TUNING PARAMETERS
----------------------------------------
  adapt_dcm_error_threshold: 0.003
  adapt_margin_error_gate: 0.002
  adapt_cooldown_ticks: 10
  adapt_warmup_ticks: 15
  adapt_freeze_ticks: 8
  T_gap_ticks: 16
  min_timing_update_ticks: 2
  min_step_update: 0.01
  adapt_alpha_time: 5.0
  adapt_alpha_offset: 50.0
  adapt_alpha_slack: 10000.0

FULL RESULTS
name                                           | fell   | ticks  | force  | phase  | dir      | step  | sup    | swing  | sw_phase    | sw_z    | sw_vz    | rem   | adapt  | upd  | act  | qpf  | max_err  | fail          
B_fwd_adapt_F50_P055_right_S4                  | True   | 599    | 50.00… | 0.5500 | right    | 4     | rfoot  | lfoot  | near_ground | 0.0004  | -0.0019  | 32    | True   | 1    | 1    | 0    | 0.0028   | RuntimeError  
B_fwd_base_F35_P035_right_S4                   | False  | 1000   | 35.00… | 0.3500 | right    | 4     | rfoot  | lfoot  | near_ground | 0.0006  | -0.0003  | 46    | False  | 0    | 0    | 0    | 0.0000   |               
B_fwd_base_F35_P055_right_S4                   | False  | 1000   | 35.00… | 0.5500 | right    | 4     | rfoot  | lfoot  | near_ground | 0.0000  | 0.0015   | 32    | False  | 0    | 0    | 0    | 0.0000   |               
B_fwd_base_F40_P035_right_S4                   | True   | 598    | 40.00… | 0.3500 | right    | 4     | rfoot  | lfoot  | near_ground | 0.0006  | -0.0003  | 46    | False  | 0    | 0    | 0    | 0.0000   | RuntimeError  
B_fwd_base_F40_P055_right_S4                   | True   | 588    | 40.00… | 0.5500 | right    | 4     | rfoot  | lfoot  | near_ground | 0.0004  | -0.0019  | 32    | False  | 0    | 0    | 0    | 0.0000   | RuntimeError  
C_fwd_adapt_F40_P035_bwd_S3                    | True   | 469    | 40.00… | 0.3500 | backward | 3     | lfoot  | rfoot  | near_ground | 0.0004  | 0.0001   | 46    | True   | 0    | 1    | 0    | 0.0038   |               
C_fwd_adapt_F40_P035_bwd_S4                    | True   | 566    | 40.00… | 0.3500 | backward | 4     | rfoot  | lfoot  | near_ground | 0.0006  | -0.0002  | 46    | True   | 0    | 1    | 0    | 0.0032   | RuntimeError  
C_fwd_adapt_F40_P035_fwd_S3                    | True   | 455    | 40.00… | 0.3500 | forward  | 3     | lfoot  | rfoot  | near_ground | 0.0004  | 0.0001   | 46    | True   | 2    | 2    | 0    | 0.0032   | RuntimeError  
C_fwd_adapt_F40_P035_fwd_S4                    | True   | 552    | 40.00… | 0.3500 | forward  | 4     | rfoot  | lfoot  | near_ground | 0.0006  | -0.0003  | 46    | True   | 2    | 2    | 0    | 0.0031   | RuntimeError  
C_fwd_adapt_F40_P055_bwd_S3                    | True   | 486    | 40.00… | 0.5500 | backward | 3     | lfoot  | rfoot  | near_ground | 0.0003  | -0.0018  | 32    | True   | 0    | 0    | 0    | 0.0029   | RuntimeError  
C_fwd_adapt_F40_P055_bwd_S4                    | True   | 590    | 40.00… | 0.5500 | backward | 4     | rfoot  | lfoot  | near_ground | 0.0004  | -0.0021  | 32    | True   | 0    | 0    | 0    | 0.0028   |               
C_fwd_adapt_F40_P055_fwd_S3                    | True   | 459    | 40.00… | 0.5500 | forward  | 3     | lfoot  | rfoot  | near_ground | 0.0003  | -0.0016  | 32    | True   | 1    | 1    | 0    | 0.0030   | RuntimeError  
C_fwd_adapt_F40_P055_fwd_S4                    | True   | 560    | 40.00… | 0.5500 | forward  | 4     | rfoot  | lfoot  | near_ground | 0.0004  | -0.0021  | 32    | True   | 1    | 1    | 0    | 0.0030   | RuntimeError  
C_fwd_adapt_F45_P035_bwd_S3                    | True   | 464    | 45.00… | 0.3500 | backward | 3     | lfoot  | rfoot  | near_ground | 0.0004  | 0.0001   | 46    | True   | 0    | 2    | 0    | 0.0051   |               
C_fwd_adapt_F45_P035_bwd_S4                    | True   | 560    | 45.00… | 0.3500 | backward | 4     | rfoot  | lfoot  | near_ground | 0.0006  | -0.0002  | 46    | True   | 0    | 1    | 0    | 0.0030   | RuntimeError  
C_fwd_adapt_F45_P035_fwd_S3                    | True   | 451    | 45.00… | 0.3500 | forward  | 3     | lfoot  | rfoot  | near_ground | 0.0004  | 0.0001   | 46    | True   | 3    | 3    | 0    | 0.0034   | RuntimeError  
C_fwd_adapt_F45_P035_fwd_S4                    | True   | 548    | 45.00… | 0.3500 | forward  | 4     | rfoot  | lfoot  | near_ground | 0.0006  | -0.0002  | 46    | True   | 2    | 2    | 0    | 0.0031   | RuntimeError  
C_fwd_adapt_F45_P055_bwd_S3                    | True   | 482    | 45.00… | 0.5500 | backward | 3     | lfoot  | rfoot  | near_ground | 0.0003  | -0.0016  | 32    | True   | 1    | 1    | 0    | 0.0032   |               
C_fwd_adapt_F45_P055_bwd_S4                    | True   | 582    | 45.00… | 0.5500 | backward | 4     | rfoot  | lfoot  | near_ground | 0.0000  | 0.0015   | 32    | True   | 1    | 1    | 0    | 0.0033   |               
C_fwd_adapt_F45_P055_fwd_S3                    | True   | 456    | 45.00… | 0.5500 | forward  | 3     | lfoot  | rfoot  | near_ground | 0.0004  | -0.0021  | 32    | True   | 1    | 1    | 0    | 0.0030   | RuntimeError  
C_fwd_adapt_F45_P055_fwd_S4                    | True   | 555    | 45.00… | 0.5500 | forward  | 4     | rfoot  | lfoot  | near_ground | 0.0004  | -0.0021  | 32    | True   | 1    | 1    | 0    | 0.0032   | RuntimeError  
C_fwd_base_F35_P035_bwd_S3                     | True   | 475    | 35.00… | 0.3500 | backward | 3     | lfoot  | rfoot  | near_ground | 0.0005  | -0.0001  | 46    | False  | 0    | 0    | 0    | 0.0000   | RuntimeError  
